type,time,latitude,longitude,altitude (ft),speed (kt),course,distance (nmi),distance_interval (ft),eos,color,name,desc
T,2019-08-27 00:16:44,41.941980310,-87.645113273,675.4,,,0.000,,,Cyan,Current Track: 26 AUG 2019 19:16,
T,2019-08-27 00:16:45,41.941978801,-87.645112937,675.4,0.3,170.6,0.000,0.56,,,,
T,2019-08-27 00:16:49,41.941980058,-87.645114362,665.9,0.1,319.9,0.000,0.60,,,,
T,2019-08-27 00:17:03,41.941962205,-87.645114614,664.3,0.3,180.6,0.001,6.51,,,,
T,2019-08-27 00:17:24,41.941948710,-87.645117380,686.4,0.1,188.7,0.002,4.97,,,,
T,2019-08-27 00:17:25,41.941946698,-87.645118972,681.7,0.5,210.5,0.002,0.85,,,,
T,2019-08-27 00:17:31,41.941965139,-87.645138335,675.4,0.8,322.0,0.004,8.54,,,,
T,2019-08-27 00:28:36,41.942024147,-87.645025011,669.1,0.0,55.0,0.010,37.59,,,,
T,2019-08-27 00:28:58,41.942008892,-87.645175131,640.7,1.1,262.2,0.017,41.22,,,,
T,2019-08-27 00:28:59,41.942006378,-87.645176137,665.9,0.6,196.6,0.017,0.96,,,,
T,2019-08-27 00:29:06,41.941991542,-87.645175634,654.9,0.5,178.6,0.018,5.41,,,,
T,2019-08-27 00:29:11,41.942010317,-87.645170269,647.0,0.8,12.0,0.019,7.00,,,,
T,2019-08-27 00:29:27,41.942028589,-87.645195080,636.0,0.4,314.7,0.020,9.48,,,,
T,2019-08-27 00:30:00,41.942004953,-87.645176891,636.0,0.2,150.2,0.022,9.93,,,,
T,2019-08-27 00:30:32,41.942003276,-87.645183681,640.7,0.0,251.6,0.022,1.95,,,,
T,2019-08-27 00:30:56,41.942000929,-87.645188123,634.4,0.0,234.6,0.023,1.48,,,,
T,2019-08-27 00:31:20,41.942008305,-87.645203713,642.3,0.1,302.5,0.023,5.02,,,,
T,2019-08-27 00:31:29,41.942015179,-87.645209497,639.1,0.2,328.0,0.024,2.96,,,,
T,2019-08-27 00:32:01,41.942083491,-87.645257441,639.1,0.5,332.4,0.028,28.10,,,,
T,2019-08-27 00:32:37,41.942075864,-87.645248724,639.1,0.1,139.6,0.029,3.65,,,,
T,2019-08-27 00:33:01,41.942082150,-87.645243947,647.0,0.1,29.5,0.030,2.63,,,,
T,2019-08-27 00:33:32,41.942075528,-87.645237325,647.0,0.1,143.4,0.030,3.01,,,,
T,2019-08-27 00:33:54,41.942046695,-87.645206647,640.7,0.4,141.6,0.032,13.42,,,,
T,2019-08-27 00:33:59,41.942036971,-87.645200696,645.4,0.5,155.5,0.033,3.90,,,,
T,2019-08-27 00:34:01,41.942036217,-87.645200444,642.3,0.1,166.1,0.033,0.28,,,,
T,2019-08-27 00:34:29,41.942000929,-87.645182172,643.9,0.3,158.9,0.035,13.79,,,,
T,2019-08-27 00:35:01,41.941987099,-87.645168845,647.0,0.1,144.4,0.036,6.21,,,,
T,2019-08-27 00:35:34,41.941969329,-87.645198097,647.0,0.2,230.8,0.038,10.26,,,,
T,2019-08-27 00:36:07,41.941977376,-87.645201702,647.0,0.1,341.6,0.038,3.09,,,,
T,2019-08-27 00:36:44,41.941977711,-87.645200947,647.0,0.0,59.1,0.038,0.24,,,,
T,2019-08-27 00:37:30,41.941991290,-87.645202288,642.3,0.1,355.8,0.039,4.96,,,,
T,2019-08-27 00:37:32,41.941989697,-87.645202205,647.0,0.2,177.8,0.039,0.58,,,,
T,2019-08-27 00:38:10,41.941974191,-87.645198684,645.4,0.1,170.4,0.040,5.73,,,,
T,2019-08-27 00:38:53,41.942003947,-87.645210251,647.0,0.2,343.9,0.042,11.29,,,,
T,2019-08-27 00:39:23,41.941997325,-87.645204803,642.3,0.1,148.5,0.043,2.83,,,,
T,2019-08-27 00:40:00,41.941987854,-87.645171527,637.5,0.2,110.9,0.044,9.69,,,,
T,2019-08-27 00:40:30,41.941975197,-87.645210251,637.5,0.2,246.3,0.046,11.50,,,,
T,2019-08-27 00:40:37,41.941970503,-87.645214610,634.4,0.2,214.6,0.046,2.08,,,,
T,2019-08-27 00:41:23,41.941964216,-87.645222489,634.4,0.0,223.0,0.047,3.14,,,,
T,2019-08-27 00:42:06,41.941985758,-87.645201953,634.4,0.1,35.3,0.049,9.64,,,,
T,2019-08-27 00:42:42,41.942006545,-87.645231960,632.8,0.2,313.0,0.050,11.14,,,,
T,2019-08-27 00:43:18,41.942007719,-87.645211592,632.8,0.1,85.6,0.051,5.56,,,,
T,2019-08-27 00:43:23,41.942006964,-87.645207821,642.3,0.1,105.1,0.051,1.06,,,,
T,2019-08-27 00:43:59,41.942013083,-87.645164151,640.7,0.2,79.3,0.053,12.09,,,,
T,2019-08-27 00:44:30,41.942019872,-87.645174712,640.7,0.1,310.8,0.054,3.79,,,,
T,2019-08-27 00:45:05,41.942017525,-87.645167252,640.7,0.0,112.9,0.054,2.20,,,,
T,2019-08-27 00:45:38,41.942006545,-87.645238163,639.1,0.4,258.2,0.058,19.70,,,,
T,2019-08-27 00:45:57,41.941987267,-87.645218046,643.9,0.3,142.2,0.059,8.91,,,,
T,2019-08-27 00:45:59,41.941985758,-87.645218046,640.7,0.2,180.0,0.059,0.55,,,,
T,2019-08-27 00:46:35,41.941982573,-87.645219723,639.1,0.0,201.4,0.059,1.25,,,,
T,2019-08-27 00:46:44,41.941992715,-87.645220477,645.4,0.2,356.8,0.060,3.70,,,,
T,2019-08-27 00:47:20,41.942009563,-87.645214777,642.3,0.1,14.1,0.061,6.33,,,,
T,2019-08-27 00:47:50,41.941985842,-87.645246293,639.1,0.2,224.7,0.063,12.18,,,,
T,2019-08-27 00:47:56,41.941988776,-87.645247551,643.9,0.1,342.3,0.063,1.12,,,,
T,2019-08-27 00:48:17,41.941997325,-87.645230871,631.2,0.2,55.4,0.064,5.50,,,,
T,2019-08-27 00:48:18,41.941997157,-87.645232212,631.2,0.2,260.5,0.064,0.37,,,,
T,2019-08-27 00:48:46,41.941960026,-87.645245036,631.2,0.3,194.4,0.067,13.97,,,,
T,2019-08-27 00:49:19,41.941950638,-87.645245958,642.3,0.1,184.2,0.067,3.43,,,,
T,2019-08-27 00:49:20,41.941950638,-87.645244617,640.7,0.2,90.0,0.067,0.36,,,,
T,2019-08-27 00:49:22,41.941950722,-87.645243443,634.4,0.1,84.5,0.067,0.32,,,,
T,2019-08-27 00:49:45,41.941963462,-87.645240929,642.3,0.1,8.4,0.068,4.69,,,,
T,2019-08-27 00:49:57,41.941966647,-87.645242354,639.1,0.1,341.6,0.068,1.22,1,,,
T,2019-08-28 21:44:18,41.942027165,-87.645065747,484.6,,,0.077,52.87,,,,
T,2019-08-28 23:26:02,41.959966281,-87.626971062,457.8,0.8,36.9,1.424,8183.14,,,,
T,2019-08-28 23:26:04,41.959920013,-87.626895877,456.2,7.9,129.6,1.428,26.50,,,,
T,2019-08-28 23:26:22,41.959982291,-87.626130777,454.6,6.9,83.8,1.463,209.33,,,,
T,2019-08-28 23:26:33,41.960053453,-87.625758620,464.1,5.6,75.6,1.480,104.49,,,,
T,2019-08-28 23:26:36,41.960064350,-87.625649571,476.7,5.9,82.3,1.485,29.92,,,,
T,2019-08-28 23:26:39,41.960083041,-87.625528621,487.7,6.6,78.3,1.490,33.60,,,,
T,2019-08-28 23:26:43,41.960119838,-87.625372214,498.8,6.6,72.4,1.497,44.60,,,,
T,2019-08-28 23:26:46,41.960140541,-87.625248162,509.8,6.8,77.4,1.503,34.57,,,,
T,2019-08-28 23:26:51,41.960160825,-87.625054289,520.8,6.3,82.0,1.512,53.25,,,,
T,2019-08-28 23:26:55,41.960175494,-87.624886902,530.3,6.8,83.3,1.519,45.84,,,,
T,2019-08-28 23:27:02,41.960207764,-87.624626225,541.3,6.1,80.5,1.531,71.87,,,,
T,2019-08-28 23:27:09,41.960243303,-87.624348365,552.4,6.5,80.2,1.544,76.68,,,,
T,2019-08-28 23:27:18,41.960287225,-87.623998420,563.4,6.4,80.4,1.560,96.52,,,,
T,2019-08-28 23:27:22,41.960301390,-87.623858359,571.3,5.7,82.3,1.566,38.44,,,,
T,2019-08-28 23:27:27,41.960321087,-87.623663731,558.7,6.3,82.2,1.575,53.42,,,,
T,2019-08-28 23:27:28,41.960324189,-87.623624587,579.2,6.3,83.9,1.577,10.71,,,,
T,2019-08-28 23:27:29,41.960328463,-87.623585193,579.2,6.4,81.7,1.578,10.83,,,,
T,2019-08-28 23:27:49,41.960422927,-87.622751445,587.1,6.8,81.3,1.616,229.37,,,,
T,2019-08-28 23:28:07,41.960513955,-87.622084916,593.4,6.1,79.6,1.647,184.30,,,,
T,2019-08-28 23:28:27,41.960649071,-87.621396175,599.7,5.7,75.2,1.678,193.69,,,,
T,2019-08-28 23:28:44,41.960811010,-87.620795276,602.9,6.1,70.1,1.707,173.76,,,,
T,2019-08-28 23:29:02,41.960960124,-87.620172165,601.3,5.9,72.2,1.736,177.98,,,,
T,2019-08-28 23:29:18,41.961193308,-87.619605800,601.3,6.5,61.0,1.765,175.93,,,,
T,2019-08-28 23:29:34,41.961424397,-87.619045302,602.9,6.4,61.0,1.794,174.16,,,,
T,2019-08-28 23:29:53,41.961694881,-87.618415151,601.3,6.2,60.0,1.826,197.71,,,,
T,2019-08-28 23:30:14,41.962026134,-87.617764631,604.4,6.0,55.6,1.862,214.19,,,,
T,2019-08-28 23:30:31,41.962326458,-87.617183682,606.0,6.7,55.2,1.893,192.21,,,,
T,2019-08-28 23:30:48,41.962679084,-87.616623770,607.6,6.9,49.7,1.926,199.26,,,,
T,2019-08-28 23:31:07,41.963036573,-87.615996469,602.9,6.7,52.5,1.961,214.66,,,,
T,2019-08-28 23:31:28,41.963403532,-87.615355421,606.0,6.2,52.4,1.998,219.73,,,,
T,2019-08-28 23:31:44,41.963720117,-87.614874467,606.0,6.5,48.5,2.026,174.41,,,,
T,2019-08-28 23:32:01,41.964091854,-87.614354119,607.6,6.8,46.1,2.059,195.91,,,,
T,2019-08-28 23:32:18,41.964472896,-87.613869980,607.6,6.7,43.4,2.090,191.36,,,,
T,2019-08-28 23:32:35,41.964787049,-87.613341920,604.4,6.4,51.3,2.120,183.66,,,,
T,2019-08-28 23:32:48,41.965092402,-87.613023994,606.0,6.4,37.7,2.144,140.92,,,,
T,2019-08-28 23:33:03,41.965450728,-87.612679331,607.6,6.3,35.6,2.170,160.74,,,,
T,2019-08-28 23:33:20,41.965869991,-87.612294182,609.2,6.5,34.3,2.200,185.24,,,,
T,2019-08-28 23:33:36,41.966269892,-87.611951027,607.6,6.4,32.5,2.229,173.05,,,,
T,2019-08-28 23:33:50,41.966627296,-87.611686913,606.0,6.3,28.8,2.253,148.74,,,,
T,2019-08-28 23:34:06,41.967038428,-87.611411652,604.4,6.2,26.5,2.281,167.48,,,,
T,2019-08-28 23:34:19,41.967228279,-87.611025246,604.4,5.7,56.5,2.302,125.82,,,,
T,2019-08-28 23:34:35,41.967127193,-87.610480925,604.4,5.6,104.0,2.327,152.55,,,,
T,2019-08-28 23:34:48,41.966878837,-87.610059148,602.9,6.7,128.4,2.351,146.11,,,,
T,2019-08-28 23:35:01,41.966505423,-87.609807691,607.6,6.9,153.4,2.376,152.29,,,,
T,2019-08-28 23:35:15,41.966057578,-87.609808194,610.7,6.9,180.0,2.403,163.20,,,,
T,2019-08-28 23:35:19,41.965922043,-87.609798470,610.7,7.3,176.9,2.411,49.46,,,,
T,2019-08-28 23:35:32,41.965487190,-87.609860748,609.2,7.3,186.1,2.437,159.37,,,,
T,2019-08-28 23:35:46,41.965133976,-87.610011539,606.0,5.7,197.6,2.459,135.09,,,,
T,2019-08-28 23:36:00,41.964808339,-87.610189738,607.6,5.4,202.1,2.480,128.18,,,,
T,2019-08-28 23:36:16,41.964438027,-87.610420156,607.6,5.5,204.8,2.505,148.79,,,,
T,2019-08-28 23:36:32,41.964083556,-87.610704051,606.0,5.6,210.8,2.530,150.49,,,,
T,2019-08-28 23:36:43,41.963833272,-87.610931369,606.0,5.9,214.0,2.548,110.19,,,,
T,2019-08-28 23:36:49,41.963869901,-87.611018373,604.4,2.7,299.5,2.552,27.17,,,,
T,2019-08-28 23:37:05,41.964212302,-87.611257257,604.4,5.2,332.6,2.575,140.68,,,,
T,2019-08-28 23:37:15,41.964324787,-87.611473259,606.0,4.2,305.0,2.587,71.63,,,,
T,2019-08-28 23:37:22,41.964250859,-87.611500416,602.9,2.4,195.3,2.592,27.93,,,,
T,2019-08-28 23:37:34,41.964016417,-87.611294137,602.9,5.0,146.8,2.609,102.21,,,,
T,2019-08-28 23:37:47,41.963683655,-87.611112585,604.4,6.0,157.9,2.630,130.93,,,,
T,2019-08-28 23:38:00,41.963299178,-87.610890213,604.4,7.0,156.7,2.655,152.60,,,,
T,2019-08-28 23:38:09,41.963016791,-87.610755181,604.4,7.2,160.4,2.673,109.26,,,,
T,2019-08-28 23:38:22,41.962619657,-87.610466760,602.9,7.5,151.6,2.700,164.61,,,,
T,2019-08-28 23:38:36,41.962230401,-87.610137351,602.9,7.1,147.8,2.728,167.77,,,,
T,2019-08-28 23:38:49,41.961834356,-87.609861000,602.9,7.4,152.6,2.755,162.72,,,,
T,2019-08-28 23:39:04,41.961360024,-87.609658576,602.9,7.2,162.4,2.785,181.41,,,,
T,2019-08-28 23:39:20,41.960839927,-87.609586241,602.9,7.1,174.1,2.816,190.55,,,,
T,2019-08-28 23:39:33,41.960416976,-87.609580541,601.3,7.0,179.4,2.841,154.14,,,,
T,2019-08-28 23:39:48,41.960010035,-87.609658241,602.9,5.9,188.1,2.866,149.79,,,,
T,2019-08-28 23:40:01,41.959628155,-87.609792855,604.4,6.6,194.7,2.890,143.90,,,,
T,2019-08-28 23:40:08,41.959428499,-87.609829903,602.9,6.2,187.9,2.902,73.45,,,,
T,2019-08-28 23:40:16,41.959376698,-87.609954039,601.3,2.9,240.7,2.908,38.68,,,,
T,2019-08-28 23:40:31,41.959680626,-87.610147744,604.4,4.8,334.6,2.928,122.65,,,,
T,2019-08-28 23:40:45,41.959997127,-87.610408422,602.9,5.7,328.5,2.951,135.39,,,,
T,2019-08-28 23:40:59,41.960285464,-87.610712182,602.9,5.7,321.9,2.973,133.67,,,,
T,2019-08-28 23:41:15,41.960664578,-87.610972272,602.9,5.7,333.0,2.998,155.21,,,,
T,2019-08-28 23:41:28,41.961020809,-87.610967578,601.3,5.9,0.6,3.020,129.82,,,,
T,2019-08-28 23:41:42,41.961409142,-87.611001525,602.9,6.0,356.3,3.043,141.81,,,,
T,2019-08-28 23:41:51,41.961429845,-87.611141000,601.3,2.5,281.3,3.049,38.68,,,,
T,2019-08-28 23:42:08,41.961084679,-87.611207636,602.9,4.4,188.2,3.070,127.08,,,,
T,2019-08-28 23:42:25,41.960639432,-87.611339064,602.9,5.8,192.4,3.098,166.14,,,,
T,2019-08-28 23:42:42,41.960179014,-87.611496476,602.9,6.0,194.3,3.126,173.16,,,,
T,2019-08-28 23:42:57,41.959746592,-87.611641819,604.4,6.4,194.0,3.153,162.46,,,,
T,2019-08-28 23:43:13,41.959265973,-87.611733852,602.9,6.6,188.1,3.182,176.92,,,,
T,2019-08-28 23:43:29,41.958787199,-87.611804511,602.9,6.5,186.3,3.211,175.53,,,,
T,2019-08-28 23:43:47,41.958265426,-87.611898975,601.3,6.3,187.7,3.242,191.87,,,,
T,2019-08-28 23:44:03,41.957785897,-87.612013724,602.9,6.6,190.1,3.272,177.51,,,,
T,2019-08-28 23:44:12,41.957550198,-87.612119420,601.3,6.0,198.4,3.286,90.58,,,,
T,2019-08-28 23:44:16,41.957520274,-87.612195946,601.3,3.5,242.3,3.290,23.50,,,,
T,2019-08-28 23:44:23,41.957622198,-87.612297283,599.7,3.9,323.5,3.298,46.25,,,,
T,2019-08-28 23:44:39,41.958005251,-87.612549495,601.3,5.8,333.9,3.324,155.54,,,,
T,2019-08-28 23:44:51,41.958339019,-87.612413960,599.7,6.3,16.8,3.344,127.09,,,,
T,2019-08-28 23:45:08,41.958778733,-87.612033337,596.6,6.6,32.8,3.376,190.77,,,,
T,2019-08-28 23:45:24,41.959120044,-87.611596053,596.6,6.4,43.6,3.404,172.09,,,,
T,2019-08-28 23:45:39,41.959462697,-87.611237140,596.6,6.3,37.9,3.430,158.50,,,,
T,2019-08-28 23:45:56,41.959813144,-87.610852914,596.6,5.8,39.2,3.457,165.02,,,,
T,2019-08-28 23:46:11,41.960187564,-87.610543203,598.1,6.3,31.6,3.484,160.35,,,,
T,2019-08-28 23:46:30,41.960685616,-87.610119162,598.1,6.7,32.3,3.519,215.04,,,,
T,2019-08-28 23:46:47,41.961094653,-87.609779192,598.1,6.1,31.7,3.548,175.41,,,,
T,2019-08-28 23:47:04,41.961490195,-87.609467972,598.1,5.8,30.3,3.576,167.16,,,,
T,2019-08-28 23:47:18,41.961824466,-87.609180473,598.1,6.1,32.6,3.599,144.75,,,,
T,2019-08-28 23:47:34,41.962204417,-87.608925998,598.1,5.7,26.5,3.625,154.79,,,,
T,2019-08-28 23:47:50,41.962607587,-87.608679067,598.1,6.0,24.5,3.651,161.54,,,,
T,2019-08-28 23:48:05,41.963018049,-87.608542861,598.1,6.1,13.9,3.677,154.10,,,,
T,2019-08-28 23:48:18,41.963362209,-87.608395927,598.1,6.0,17.6,3.699,131.63,,,,
T,2019-08-28 23:48:33,41.963757584,-87.608217141,596.6,6.0,18.6,3.724,152.06,,,,
T,2019-08-28 23:48:50,41.964182211,-87.607885888,596.6,6.2,30.1,3.753,179.06,,,,
T,2019-08-28 23:49:05,41.964551937,-87.607529992,595.0,6.6,35.6,3.780,165.90,,,,
T,2019-08-28 23:49:20,41.964921663,-87.607269064,596.6,6.0,27.7,3.805,152.28,,,,
T,2019-08-28 23:49:36,41.965311840,-87.607096732,598.1,5.5,18.2,3.830,149.71,,,,
T,2019-08-28 23:49:50,41.965657258,-87.606937811,596.6,5.6,18.9,3.852,133.09,,,,
T,2019-08-28 23:50:00,41.965790028,-87.606690880,596.6,4.9,54.1,3.866,82.77,,,,
T,2019-08-28 23:50:10,41.965565812,-87.606524583,598.1,5.5,151.1,3.881,93.39,,,,
T,2019-08-28 23:50:25,41.965104304,-87.606438417,598.1,6.7,172.1,3.909,169.80,,,,
T,2019-08-28 23:50:41,41.964605665,-87.606305815,598.1,6.9,168.8,3.939,185.25,,,,
T,2019-08-28 23:50:54,41.964208279,-87.606171621,598.1,6.8,165.9,3.964,149.34,,,,
T,2019-08-28 23:51:10,41.963692959,-87.606001971,598.1,7.2,166.2,3.996,193.37,,,,
T,2019-08-28 23:51:26,41.963175209,-87.605840620,596.6,7.2,167.0,4.028,193.71,,,,
T,2019-08-28 23:51:42,41.962677576,-87.605762081,598.1,6.8,173.3,4.058,182.60,,,,
T,2019-08-28 23:51:58,41.962168627,-87.605871465,598.1,7.0,189.1,4.089,187.84,,,,
T,2019-08-28 23:52:02,41.962090004,-87.605925445,598.1,4.8,207.0,4.094,32.19,,,,
T,2019-08-28 23:52:06,41.962076426,-87.605979089,598.1,2.3,251.2,4.096,15.41,,,,
T,2019-08-28 23:52:10,41.962125292,-87.606020998,596.6,3.1,327.5,4.100,21.14,,,,
T,2019-08-28 23:52:23,41.962359399,-87.606250243,598.1,4.8,323.9,4.117,105.67,,,,
T,2019-08-28 23:52:36,41.962664751,-87.606403883,596.6,5.4,339.5,4.137,118.86,,,,
T,2019-08-28 23:52:49,41.962993573,-87.606527181,601.3,5.7,344.4,4.157,124.43,,,,
T,2019-08-28 23:53:00,41.963273194,-87.606670260,595.0,5.9,339.2,4.175,109.07,,,,
T,2019-08-28 23:53:13,41.963628670,-87.606752319,598.1,6.0,350.3,4.197,131.45,,,,
T,2019-08-28 23:53:18,41.963759931,-87.606690545,595.0,6.0,19.3,4.205,50.70,,,,
T,2019-08-28 23:53:23,41.963825226,-87.606732203,598.1,3.1,334.6,4.210,26.35,,,,
T,2019-08-28 23:53:27,41.963763954,-87.606718540,596.6,3.4,170.6,4.213,22.64,,,,
T,2019-08-28 23:53:40,41.963359695,-87.606687443,596.6,6.7,176.7,4.238,147.56,,,,
T,2019-08-28 23:53:54,41.962930542,-87.606569510,596.6,6.8,168.5,4.264,159.64,,,,
T,2019-08-28 23:54:07,41.962548997,-87.606474208,595.0,6.4,169.5,4.287,141.43,,,,
T,2019-08-28 23:54:20,41.962216152,-87.606308917,595.0,5.9,159.7,4.308,129.36,,,,
T,2019-08-28 23:54:33,41.962011298,-87.605928965,591.8,5.8,125.9,4.329,127.48,,,,
T,2019-08-28 23:54:38,41.962010208,-87.605768284,593.4,5.2,90.5,4.337,43.70,,,,
T,2019-08-28 23:54:43,41.962088328,-87.605784042,595.0,3.4,351.5,4.341,28.79,,,,
T,2019-08-28 23:54:50,41.962109115,-87.605855037,593.4,1.8,291.5,4.345,20.74,,,,
T,2019-08-28 23:55:07,41.962346155,-87.606087467,595.0,3.7,323.9,4.362,107.04,,,,
T,2019-08-28 23:55:22,41.962554697,-87.606412433,595.0,4.6,310.8,4.382,116.56,,,,
T,2019-08-28 23:55:33,41.962756701,-87.606619466,596.6,5.0,322.7,4.397,92.68,,,,
T,2019-08-28 23:55:50,41.963072028,-87.607014170,596.6,5.5,317.1,4.423,157.25,,,,
T,2019-08-28 23:56:03,41.963307476,-87.607309045,595.0,5.4,317.0,4.442,117.45,,,,
T,2019-08-28 23:56:18,41.963591706,-87.607594114,596.6,5.1,323.3,4.463,129.38,,,,
T,2019-08-28 23:56:30,41.963788848,-87.607836770,595.0,4.8,317.5,4.479,97.55,,,,
T,2019-08-28 23:56:46,41.964121610,-87.608166263,595.0,5.6,323.6,4.504,150.78,,,,
T,2019-08-28 23:56:58,41.964356890,-87.608418390,595.0,5.4,321.5,4.522,109.79,,,,
T,2019-08-28 23:57:15,41.964698955,-87.608770011,595.0,5.5,322.6,4.548,157.11,,,,
T,2019-08-28 23:57:29,41.964968350,-87.609084584,595.0,5.5,319.0,4.570,130.22,,,,
T,2019-08-28 23:57:44,41.965234894,-87.609426146,595.0,5.3,316.4,4.592,134.40,,,,
T,2019-08-28 23:57:59,41.965468833,-87.609793358,595.0,5.2,310.6,4.613,131.31,,,,
T,2019-08-28 23:58:13,41.965710316,-87.610136177,595.0,5.4,313.5,4.634,128.21,,,,
T,2019-08-28 23:58:26,41.965949368,-87.610428957,593.4,5.4,317.7,4.654,118.02,,,,
T,2019-08-28 23:58:38,41.966179367,-87.610664237,595.0,5.2,322.7,4.671,105.45,,,,
T,2019-08-28 23:58:55,41.966459993,-87.611066317,595.0,5.2,313.2,4.696,149.72,,,,
T,2019-08-28 23:59:11,41.966738273,-87.611452388,596.6,5.4,314.1,4.720,145.97,,,,
T,2019-08-28 23:59:21,41.966909096,-87.611654224,596.6,4.9,318.7,4.733,82.99,,,,
T,2019-08-28 23:59:35,41.967145214,-87.611976173,596.6,5.2,314.6,4.754,122.76,,,,
T,2019-08-28 23:59:51,41.967408406,-87.612316813,598.1,4.9,316.1,4.776,133.35,,,,
T,2019-08-29 00:00:04,41.967623066,-87.612633565,595.0,5.3,312.3,4.795,116.36,,,,
T,2019-08-29 00:00:19,41.967904028,-87.612974374,595.0,5.5,318.0,4.818,138.11,,,,
T,2019-08-29 00:00:33,41.968145929,-87.613302693,595.0,5.3,314.7,4.838,125.47,,,,
T,2019-08-29 00:00:46,41.968394872,-87.613602597,595.0,5.6,318.1,4.858,121.99,,,,
T,2019-08-29 00:01:00,41.968633588,-87.613932677,595.0,5.3,314.2,4.879,125.00,,,,
T,2019-08-29 00:01:19,41.968930811,-87.614346491,596.6,4.9,314.0,4.905,156.19,,,,
T,2019-08-29 00:01:29,41.969115045,-87.614541789,596.6,5.1,321.8,4.919,85.61,,,,
T,2019-08-29 00:01:43,41.969352253,-87.614876814,598.1,5.3,313.6,4.939,125.59,,,,
T,2019-08-29 00:02:00,41.969650229,-87.615316613,598.1,5.6,312.3,4.966,161.54,,,,
T,2019-08-29 00:02:13,41.969909314,-87.615575781,595.0,5.4,323.4,4.985,117.82,,,,
T,2019-08-29 00:02:20,41.970052896,-87.615708299,593.4,5.4,325.5,4.996,63.53,,,,
T,2019-08-29 00:02:25,41.970055327,-87.615802931,595.0,3.1,272.0,5.000,25.75,,,,
T,2019-08-29 00:02:39,41.969732959,-87.616022704,595.0,5.6,206.9,5.022,131.80,,,,
T,2019-08-29 00:02:58,41.969275810,-87.616298301,595.0,5.7,204.1,5.052,182.67,,,,
T,2019-08-29 00:03:14,41.968853110,-87.616455629,596.6,5.9,195.5,5.078,159.87,,,,
T,2019-08-29 00:03:28,41.968469555,-87.616605079,593.4,6.2,196.2,5.102,145.56,,,,
T,2019-08-29 00:03:40,41.968136458,-87.616718737,591.8,6.2,194.2,5.123,125.26,,,,
T,2019-08-29 00:03:54,41.967754746,-87.616903978,591.8,6.3,199.8,5.147,147.94,,,,
T,2019-08-29 00:04:00,41.967614433,-87.617033562,565.0,6.1,214.5,5.157,62.10,,,,
T,2019-08-29 00:04:01,41.967594232,-87.617051080,565.0,5.2,212.8,5.159,8.77,,,,
T,2019-08-29 00:04:02,41.967570847,-87.617071615,596.6,6.0,213.1,5.160,10.19,,,,
T,2019-08-29 00:04:03,41.967549389,-87.617091565,595.0,5.6,214.7,5.162,9.52,,,,
T,2019-08-29 00:04:22,41.967110848,-87.617533961,596.6,6.2,216.9,5.195,200.04,,,,
T,2019-08-29 00:04:38,41.966733998,-87.617919277,591.8,6.4,217.2,5.223,172.74,,,,
T,2019-08-29 00:04:53,41.966380281,-87.618258493,591.8,6.3,215.5,5.249,158.51,,,,
T,2019-08-29 00:05:06,41.966110887,-87.618558733,590.2,5.8,219.6,5.270,127.69,,,,
T,2019-08-29 00:05:22,41.965746023,-87.618930889,590.2,6.2,217.2,5.298,167.10,,,,
T,2019-08-29 00:05:37,41.965385182,-87.619178407,588.6,5.8,207.0,5.322,147.72,,,,
T,2019-08-29 00:05:51,41.965017133,-87.619429864,590.2,6.4,206.9,5.347,150.55,,,,
T,2019-08-29 00:06:07,41.964583201,-87.619611165,588.6,6.1,197.3,5.374,165.64,,,,
T,2019-08-29 00:06:25,41.964105098,-87.619928168,588.6,6.4,206.2,5.406,194.39,,,,
T,2019-08-29 00:06:42,41.963682398,-87.620204352,591.8,6.0,205.9,5.434,171.38,,,,
T,2019-08-29 00:06:55,41.963379644,-87.620440973,590.2,5.8,210.2,5.455,127.72,,,,
T,2019-08-29 00:07:11,41.962984856,-87.620711876,591.8,6.0,207.0,5.482,161.63,,,,
T,2019-08-29 00:07:27,41.962584117,-87.621013038,590.2,6.2,209.2,5.510,167.44,,,,
T,2019-08-29 00:07:42,41.962227635,-87.621320905,588.6,6.1,212.7,5.535,154.55,,,,
T,2019-08-29 00:07:58,41.961891186,-87.621689625,590.2,5.9,219.2,5.561,158.40,,,,
T,2019-08-29 00:08:14,41.961558508,-87.622036049,591.8,5.7,217.8,5.586,153.54,,,,
T,2019-08-29 00:08:19,41.961458428,-87.622123221,587.1,5.2,212.9,5.593,43.50,,,,
T,2019-08-29 00:08:22,41.961397910,-87.622168819,590.2,5.0,209.3,5.598,25.30,,,,
T,2019-08-29 00:08:26,41.961420458,-87.622223804,590.2,2.5,298.9,5.600,17.06,,,,
T,2019-08-29 00:08:33,41.961551383,-87.622314496,574.5,4.5,332.7,5.609,53.71,,,,
T,2019-08-29 00:08:41,41.961701587,-87.622489343,585.5,5.4,319.1,5.621,72.51,,,,
T,2019-08-29 00:08:44,41.961751711,-87.622556062,572.9,5.1,315.3,5.625,25.75,,,,
T,2019-08-29 00:08:45,41.961771073,-87.622577939,587.1,5.5,320.0,5.627,9.23,,,,
T,2019-08-29 00:08:46,41.961792195,-87.622601157,610.7,5.9,320.7,5.629,9.96,,,,
T,2019-08-29 00:08:48,41.961835446,-87.622640384,613.9,5.6,326.0,5.632,19.03,,,,
